antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'chrome crème gel liner'}),frozenset({'byob'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'byob'}),frozenset({'chrome crème gel liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek palette'}),frozenset({'byob'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'byob'}),frozenset({'cheek palette'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek & lip set'}),frozenset({'byob'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'byob'}),frozenset({'cheek & lip set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'candy lip oil'}),frozenset({'byob'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow gel'}),frozenset({'cloud whip blurring liquid lipstick'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cloud whip blurring liquid lipstick'}),frozenset({'brow gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cleansing duo'}),frozenset({'brow gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss gel'}),frozenset({'cloud whip blurring liquid lipstick'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss pencil'}),frozenset({'byob'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'byob'}),frozenset({'brow boss pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow pencil'}),frozenset({'brow boss pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss pencil'}),frozenset({'brow pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow gel'}),frozenset({'brow boss pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss pencil'}),frozenset({'brow gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome liquid shadow'}),frozenset({'chrome crème gel liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome crème gel liner'}),frozenset({'chrome liquid shadow'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cleansing duo'}),frozenset({'chrome crème gel liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome crème gel liner'}),frozenset({'cleansing duo'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cloud whip blurring liquid lipstick'}),frozenset({'chrome crème gel liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome crème gel liner'}),frozenset({'cloud whip blurring liquid lipstick'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cloud whip blurring liquid lipstick'}),frozenset({'brow boss gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'candy lip oil'}),frozenset({'brow boss pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cleansing duo'}),frozenset({'brow boss gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss gel'}),frozenset({'cleansing duo'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome liquid shadow'}),frozenset({'brow boss gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss gel'}),frozenset({'chrome liquid shadow'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome crème gel liner'}),frozenset({'brow boss gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss gel'}),frozenset({'chrome crème gel liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss gel'}),frozenset({'cheek palette'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek palette'}),frozenset({'brow boss gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss gel'}),frozenset({'cheek & lip set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek & lip set'}),frozenset({'brow boss gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss gel'}),frozenset({'candy lip oil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'candy lip oil'}),frozenset({'brow boss gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss pencil'}),frozenset({'candy lip oil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss pencil'}),frozenset({'cheek & lip set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow gel'}),frozenset({'cleansing duo'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow gel'}),frozenset({'brow pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome liquid shadow'}),frozenset({'brow gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow gel'}),frozenset({'chrome liquid shadow'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome crème gel liner'}),frozenset({'brow gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow gel'}),frozenset({'chrome crème gel liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek palette'}),frozenset({'brow gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow gel'}),frozenset({'cheek palette'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek & lip set'}),frozenset({'brow gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow gel'}),frozenset({'cheek & lip set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'candy lip oil'}),frozenset({'brow gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow gel'}),frozenset({'candy lip oil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow gel'}),frozenset({'byob'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'byob'}),frozenset({'brow gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow pencil'}),frozenset({'brow gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek & lip set'}),frozenset({'brow boss pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cloud whip blurring liquid lipstick'}),frozenset({'cheek palette'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek palette'}),frozenset({'cloud whip blurring liquid lipstick'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cloud whip blurring liquid lipstick'}),frozenset({'brow boss pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss pencil'}),frozenset({'cloud whip blurring liquid lipstick'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cleansing duo'}),frozenset({'brow boss pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss pencil'}),frozenset({'cleansing duo'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome liquid shadow'}),frozenset({'brow boss pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss pencil'}),frozenset({'chrome liquid shadow'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome crème gel liner'}),frozenset({'brow boss pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss pencil'}),frozenset({'chrome crème gel liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek palette'}),frozenset({'brow boss pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss pencil'}),frozenset({'cheek palette'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bronzer stix'}),frozenset({'blotted lip'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blush + ugl set'}),frozenset({'byob'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blotted lip'}),frozenset({'blush stix'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow gel'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'brow boss pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss pencil'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'brow boss gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss gel'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bronzer stix'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'bronzer stix'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'blush stix'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blush stix'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'blush + ugl set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blush + ugl set'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'blotted lip'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blotted lip'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss pencil'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'promotion'}),frozenset({'lace pack'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'lace pack'}),frozenset({'promotion'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'lace pack'}),frozenset({'shoes'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'shoes'}),frozenset({'lace pack'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'lace pack'}),frozenset({'socks'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'socks'}),frozenset({'lace pack'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'lace pack'}),frozenset({'underwear'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'underwear'}),frozenset({'lace pack'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'underwear'}),frozenset({'apparel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'apparel'}),frozenset({'underwear'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'socks'}),frozenset({'apparel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'brow gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow pencil'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'brow pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'byob'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'brow boss gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bronzer stix'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'bronzer stix'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'blush stix'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blush stix'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'blush + ugl set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blush + ugl set'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'blotted lip'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blotted lip'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'cloud whip blurring liquid lipstick'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cloud whip blurring liquid lipstick'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cleansing duo'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blush stix'}),frozenset({'blotted lip'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'cleansing duo'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome liquid shadow'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'chrome liquid shadow'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome crème gel liner'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'chrome crème gel liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'cheek palette'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek palette'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'cheek & lip set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek & lip set'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'candy lip oil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'candy lip oil'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'byob'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'apparel'}),frozenset({'socks'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'apparel'}),frozenset({'shoes'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'shoes'}),frozenset({'apparel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'candy lip oil'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'byob'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'brow pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow pencil'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'brow gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow gel'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'brow boss pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss pencil'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'brow boss gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss gel'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'bronzer stix'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bronzer stix'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'blush stix'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blush stix'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'blush + ugl set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blush + ugl set'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'blotted lip'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blotted lip'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'belle lip mask & ugl'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'belle lip mask & ugl'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'underwear'}),frozenset({'shoes'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'socks'}),frozenset({'underwear'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'underwear'}),frozenset({'socks'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'swim'}),frozenset({'the chubbsies'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'byob'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'candy lip oil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'apparel'}),frozenset({'promotion'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek & lip set'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'promotion'}),frozenset({'apparel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'apparel'}),frozenset({'lace pack'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'lace pack'}),frozenset({'apparel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'swim'}),frozenset({'performance polo'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'performance polo'}),frozenset({'swim'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'performance polo'}),frozenset({'the chubbsies'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'the chubbsies'}),frozenset({'performance polo'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'promotion'}),frozenset({'shoes'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'shoes'}),frozenset({'promotion'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'promotion'}),frozenset({'socks'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'socks'}),frozenset({'promotion'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'promotion'}),frozenset({'underwear'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
